com.samsung.shealth.badge,6311013,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
,2025-05-11 15:59:47.357,1001,,1,,2025-05-11 16:31:05.892,2025-05-11 16:31:03.162,,exercise_goal_first_achieve,,1,UTC+0200,,h6hg6DTKNp,com.sec.android.app.shealth,5fd4f390-15dd-4d71-955b-f35780934759,tracker.exercise,2025-05-11 16:25:16.326,b2889a80-db8c-4a9a-a28a-5cfa94d4a3fd,
,2025-05-31 22:00:00.000,,10009,1,,2025-06-01 20:12:58.881,2025-06-01 20:12:58.881,com.sec.android.app.shealth,step_milestone_10k_steps,,,UTC+0200,7548.039995551109,h6hg6DTKNp,com.sec.android.app.shealth,,tracker.pedometer,2025-06-01 21:59:59.999,447d68a8-e95a-41dc-a472-223f29b628af,
7,2025-05-31 22:00:00.000,,,1,,2025-06-07 21:05:00.727,2025-06-01 19:27:01.133,,step_streak_1_week_streak,,,UTC+0200,,h6hg6DTKNp,com.sec.android.app.shealth,,tracker.pedometer,2025-06-07 21:59:59.999,28b72a34-2b1d-4a12-b8e9-0d6cf28bc221,
14,2025-05-31 22:00:00.000,,,1,,2025-06-14 11:21:35.851,2025-06-07 22:02:00.784,,step_streak_2_week_streak,,,UTC+0200,,h6hg6DTKNp,com.sec.android.app.shealth,,tracker.pedometer,2025-06-14 21:59:59.999,9b6f0ab2-72b6-42fa-94d4-c61f276d3d4f,
21,2025-05-31 22:00:00.000,,,1,,2025-06-21 11:06:00.855,2025-06-14 22:02:00.641,,step_streak_3_week_streak,,,UTC+0200,,h6hg6DTKNp,com.sec.android.app.shealth,,tracker.pedometer,2025-06-21 21:59:59.999,809010ab-0db8-4adf-b53d-e1a18ae85e6e,
28,2025-05-31 22:00:00.000,,,1,,2025-06-28 17:03:36.550,2025-06-21 22:02:01.159,,step_streak_4_week_streak,,,UTC+0200,,h6hg6DTKNp,com.sec.android.app.shealth,,tracker.pedometer,2025-06-28 21:59:59.999,7b16bd7f-7f57-4663-985b-4a1d4520f203,
29,2025-06-01 00:00:00.000,,,1,,2025-07-31 16:54:03.347,2025-05-31 22:00:03.765,,daily_activity_month_streak_jun,,,UTC+0000,{"a":true},h6hg6DTKNp,com.sec.android.app.shealth,,tracker.daily_activity,2025-06-30 23:59:59.999,252d6492-38eb-4e22-9707-d80416a6f2a4,
,2025-12-22 23:00:00.000,,10009,1,,2025-12-23 17:08:53.874,2025-12-23 17:08:53.874,com.sec.android.app.shealth,step_milestone_20k_steps,,,UTC+0100,15274.659304261208,gzVl4KJPCr,com.sec.android.app.shealth,,tracker.pedometer,2025-12-23 22:59:59.999,ef406557-e280-47dd-a73d-a8724bb4c38d,
1,2026-02-21 00:00:00.000,,,0,,2026-03-21 17:42:22.672,2026-02-21 23:01:00.897,,water_7_days_streak,,,UTC+0100,,gzVl4KJPCr,com.sec.android.app.shealth,,tracker.water,2026-02-21 23:59:59.999,0cec085e-c362-4eb9-810d-bdec7d4f76f5,
13,2026-03-01 00:00:00.000,,,0,,2026-03-21 17:45:34.293,2026-02-28 23:00:06.068,,daily_activity_month_streak_mar,,,UTC+0000,{"a":false},P1FU22eseu,com.sec.android.app.shealth,,tracker.daily_activity,2026-03-21 00:00:00.000,44e17c85-fb49-4f4a-85a4-55ce97b6890a,
