com.samsung.shealth.preferences,6311013,2
text_value,service_id,float_value,update_time,create_time,long_value,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2026-02-26 13:31:43.303,2026-02-26 13:31:51.096,,,,1,P1FU22eseu,com.sec.android.app.shealth,,oobe.sensitive_data_available,
settings.marketing_agreement,,,2026-03-21 17:29:54.780,2026-03-21 17:26:37.080,,,,0,GVudkr4E8Q,com.sec.android.app.shealth,,settings.marketing_agreement,
settings.location_agreement,,,2026-03-21 17:30:47.139,2026-03-21 17:30:47.139,,,,1,GVudkr4E8Q,com.sec.android.app.shealth,,settings.location_agreement,
,,,2026-02-26 13:31:43.305,2026-02-26 13:31:51.523,,,,1,P1FU22eseu,com.sec.android.app.shealth,,oobe.shd_access_authority_status,
oobe.sensitive_data_agreement,,,2026-03-21 17:27:52.861,2026-03-21 17:26:37.019,,,,1,GVudkr4E8Q,com.sec.android.app.shealth,,oobe.sensitive_data_agreement,
settings.personalization_agreement,,,2026-03-21 17:54:33.803,2026-03-21 17:26:43.802,,,,1,P1FU22eseu,com.sec.android.app.shealth,,settings.personalization_agreement,
,,,2026-02-26 13:31:57.967,2026-02-26 13:31:57.978,,,,0,P1FU22eseu,com.sec.android.app.shealth,,boost.card.selected_category,
,,,2026-02-26 13:31:57.967,2026-02-26 13:31:57.982,1772112717967,,,,P1FU22eseu,com.sec.android.app.shealth,,mow.selected_time,
,tracker.sleep,,2026-02-26 13:31:59.690,2026-02-26 13:32:00.580,,,,0,P1FU22eseu,com.sec.android.app.shealth,,06-snore_setting_new,
,tracker.sleep,,2026-02-26 13:31:59.700,2026-02-26 13:32:00.590,,,,0,P1FU22eseu,com.sec.android.app.shealth,,06-snore.setting.option_new,
,tracker.exercise,,2026-02-26 13:31:59.888,2026-02-26 13:32:00.605,,,,0,P1FU22eseu,com.sec.android.app.shealth,,34-cumulative.values.reset,
,tracker.sleep,,2026-03-21 17:55:47.777,2026-02-26 13:32:00.635,,,,,P1FU22eseu,com.sec.android.app.shealth,,sleep_guidance_updated_bed_time,
0,tracker.exercise,,2026-02-26 13:31:59.839,2026-02-26 13:32:00.638,,,,,P1FU22eseu,com.sec.android.app.shealth,,34-badges.DB.update,
mbju9kcj_4e,tracker.exercise,,2026-02-26 13:32:16.502,2026-02-26 13:32:01.565,,,,,P1FU22eseu,com.sec.android.app.shealth,,34-exercise.periodization.active.id,
,tracker.exercise,,2025-05-11 15:59:35.653,2025-05-11 15:59:35.873,,,,1,h6hg6DTKNp,com.sec.android.app.shealth,,34-1001.autoPause.enable,
,tracker.exercise,,2025-05-11 16:12:29.140,2025-05-11 15:59:35.868,,,,0,h6hg6DTKNp,com.sec.android.app.shealth,,34-during.audioGuide.enable,
settings.map_location_agreement,,,2026-03-21 17:30:48.105,2026-03-21 17:30:48.105,,,,1,GVudkr4E8Q,com.sec.android.app.shealth,,settings.map_location_agreement,
,tracker.exercise,,2025-05-11 15:59:45.102,2025-05-11 15:59:45.103,,,,1,h6hg6DTKNp,com.sec.android.app.shealth,,34-1001.coaching.enable,
,,,2025-05-11 15:59:44.536,2025-05-11 15:59:44.591,,,,1,h6hg6DTKNp,com.sec.android.app.shealth,,settings.weather_location_agree,
"{""calories"":300.0,""distance"":1000,""duration"":1800000,""enable"":false,""pace_setter_id"":""100101005"",""type"":0}",tracker.exercise,,2025-05-11 15:59:43.457,2025-05-11 15:59:43.464,,,,,h6hg6DTKNp,com.sec.android.app.shealth,,34-1001.target,
,,,2025-06-07 22:00:00.430,2025-06-07 22:00:00.650,1749340800000,,,,h6hg6DTKNp,com.sec.android.app.shealth,,34-streak.initiation.date,
,tracker.exercise,,2025-05-11 16:00:47.948,2025-05-11 16:00:47.957,,,,1,h6hg6DTKNp,com.sec.android.app.shealth,,34-stats.on.locked.screen.enable,
,tracker.exercise,,2025-06-15 06:20:41.296,2025-06-15 06:20:41.303,,,,0,h6hg6DTKNp,com.sec.android.app.shealth,,34-10007.autoPause.enable,
,tracker.exercise,,2025-06-23 20:41:51.867,2025-06-23 20:41:51.988,,,,1,h6hg6DTKNp,com.sec.android.app.shealth,,34-1002.autoPause.enable,
,,,2025-09-23 04:10:29.933,2025-09-23 04:10:29.952,1758600629933,,,,gzVl4KJPCr,com.sec.android.app.shealth,,iap.selected_time,
,app.settings,,2026-03-21 17:56:18.082,2026-01-12 19:01:33.565,,,,1,P1FU22eseu,com.sec.android.app.shealth,,72-lab.enable.vascular_load,
,app.settings,,2026-03-21 17:56:20.418,2026-01-12 19:01:34.147,,,,1,P1FU22eseu,com.sec.android.app.shealth,,72-lab.enable.anti_oxidant,
,app.settings,,2026-03-21 17:56:19.025,2026-01-12 19:01:34.942,,,,1,P1FU22eseu,com.sec.android.app.shealth,,72-lab.enable.age,
"{""1000"":""CB_630_WeRe_1"",""9999"":""IAP_10""}",,,2026-02-23 16:36:36.396,2025-05-11 15:59:28.663,,,,,gzVl4KJPCr,com.sec.android.app.shealth,,iap.last_exposed_card_ids,
,,,2026-03-21 17:55:54.031,2025-05-11 15:57:18.554,,,,1,P1FU22eseu,com.sec.android.app.shealth,,step.detectworkout_switch,
,,,2026-03-16 01:51:15.447,2025-05-15 19:52:51.831,,,sleep.watch_summary.blob_value.json,,P1FU22eseu,com.sec.android.app.shealth,,sleep.watch_summary,
,,,2026-03-21 17:55:47.109,2026-02-21 17:48:39.920,,,water-target-settings.blob_value.json,,P1FU22eseu,com.sec.android.app.shealth,,water-target-settings,
"{""1000"":""MF_14"",""3000"":""MOW_148"",""9999"":""MOW_39""}",,,2026-03-19 14:56:33.608,2026-02-25 09:11:08.257,,,,,P1FU22eseu,com.sec.android.app.shealth,,mow.last_exposed_card_ids,
,,,2026-03-21 17:48:40.691,2025-05-12 13:09:51.952,,,,0,P1FU22eseu,com.sec.android.app.shealth,,together.setting_ld_auto_addition,
,,,2026-02-26 13:32:20.100,2026-02-26 11:22:28.884,1748735999999,,,,P1FU22eseu,com.sec.android.app.shealth,,shealth.6.29.upgrade.date,
,,,2026-03-21 17:48:40.691,2025-05-12 13:09:51.954,,,,0,P1FU22eseu,com.sec.android.app.shealth,,together.setting_exposure_level,
,,,2026-03-21 17:48:40.691,2025-05-12 13:09:51.947,,,,1,P1FU22eseu,com.sec.android.app.shealth,,together.setting_gc_invitation,
,,,2026-03-21 17:55:57.644,2026-02-26 13:34:12.753,1774115757644,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_hsp_bp,
,,,2026-03-21 17:45:36.539,2026-02-26 13:34:12.769,1774115131187,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_step,
,,,2026-03-21 17:56:13.893,2026-02-26 13:34:46.749,1774115773893,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_hsp_bg,
,,,2026-03-21 17:56:13.888,2026-02-26 13:35:03.245,1774115773888,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_hsp_a_session,
,,,2026-03-21 17:56:13.902,2026-02-26 13:35:03.259,1774115773902,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_hsp_nutrition,
,,,2026-03-21 17:55:25.956,2026-02-26 13:35:03.315,1774115725956,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_hsp_bo,
,,,2026-03-21 17:55:25.946,2026-02-26 13:35:14.058,1774115725946,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_hsp_hr,
,,,2026-03-21 17:55:25.957,2026-02-26 13:35:14.073,1774115725957,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_hsp_weight,
,,,2026-03-21 17:55:25.962,2026-02-26 13:35:26.839,1774115725962,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_hsp_s_session,
,,,2026-03-21 17:54:12.645,2026-02-26 13:44:06.628,1774115652526,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_bp,
,,,2026-03-19 19:11:29.190,2026-02-26 13:55:52.317,1773947489102,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_bg,
,,,2026-03-21 17:49:35.996,2026-02-26 14:05:44.953,1774115370927,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_weight,
,,,2026-03-19 19:29:31.210,2026-02-26 14:20:17.352,1773948570831,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_bo,
,,,2026-03-19 19:40:28.496,2026-02-26 14:23:39.354,1773949228290,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_sleep_session,
,,,2026-03-19 19:51:10.670,2026-02-26 14:33:44.703,1773949870522,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_heart_rate,
,,,2026-03-19 19:56:48.673,2026-02-26 14:44:57.014,1773950208483,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_nutrition,
,,,2026-03-19 20:06:22.238,2026-02-26 14:53:48.369,1773950782016,,,,P1FU22eseu,com.sec.android.app.shealth,,hsp.sync_time_exercise,
settings.weather_location_agreement,,,2026-03-21 17:30:48.906,2026-03-21 17:30:48.906,,,,1,GVudkr4E8Q,com.sec.android.app.shealth,,settings.weather_location_agreement,
